"play_id","game_id","season","season_type","start_time","posteam","posteam_type","game_date","qtr","game_seconds_remaining","play_type","kick_distance","score_differential","ep","kicker_player_id","kicker_player_name","stadium_id","weather","roof","temp","wind","forecast_parsed","temp_parsed","humidity_parsed","wind_direction_parsed","wind_speed_parsed","surface_type","fg_made","Indoor","Turf","Altitude","Precip","night_game","high_leverage","away_game","playoffs","temp_bucket","cold","hot","humid_game","wind_bucket","moderate_wind","high_wind","windy_day","wind_speed_x_kick_distance","cold_x_wind"
369,"2024_01_CAR_NO",2024,"REG","9/8/24, 13:03:08","NO","home","2024-09-08",1,3309,"field_goal",57,7,0.54199450052336,"00-0038905","B.Grupe","NOR00","Cloudy Temp: 75° F, Humidity: 64%, Wind: C 13 mph","dome",NA,NA,"Cloudy",68,70,"C",0,"sportturf",1,1,1,0,0,0,0,0,0,"Moderate",0,0,0,"Low",0,0,0,0,0
1341,"2024_01_CAR_NO",2024,"REG","9/8/24, 13:03:08","NO","home","2024-09-08",2,2228,"field_goal",44,17,1.94835777014024,"00-0038905","B.Grupe","NOR00","Cloudy Temp: 75° F, Humidity: 64%, Wind: C 13 mph","dome",NA,NA,"Cloudy",68,70,"C",0,"sportturf",1,1,1,0,0,0,0,0,0,"Moderate",0,0,0,"Low",0,0,0,0,0
1613,"2024_01_CAR_NO",2024,"REG","9/8/24, 13:03:08","NO","home","2024-09-08",2,1932,"field_goal",52,20,1.498397575386,"00-0038905","B.Grupe","NOR00","Cloudy Temp: 75° F, Humidity: 64%, Wind: C 13 mph","dome",NA,NA,"Cloudy",68,70,"C",0,"sportturf",1,1,1,0,0,0,0,0,0,"Moderate",0,0,0,"Low",0,0,0,0,0
2165,"2024_01_CAR_NO",2024,"REG","9/8/24, 13:03:08","CAR","away","2024-09-08",2,1803,"field_goal",43,-30,2.38559385360722,"00-0034173","E.Pineiro","NOR00","Cloudy Temp: 75° F, Humidity: 64%, Wind: C 13 mph","dome",NA,NA,"Cloudy",68,70,"C",0,"sportturf",1,1,1,0,0,0,0,1,0,"Moderate",0,0,0,"Low",0,0,0,0,0
3366,"2024_01_CAR_NO",2024,"REG","9/8/24, 13:03:08","NO","home","2024-09-08",4,792,"field_goal",39,27,2.31849510119358,"00-0038905","B.Grupe","NOR00","Cloudy Temp: 75° F, Humidity: 64%, Wind: C 13 mph","dome",NA,NA,"Cloudy",68,70,"C",0,"sportturf",1,1,1,0,0,0,0,0,0,"Moderate",0,0,0,"Low",0,0,0,0,0
395,"2024_01_HOU_IND",2024,"REG","9/8/24, 13:03:12","HOU","away","2024-09-08",1,3108,"field_goal",51,0,1.65647629215533,"00-0032726","K.Fairbairn","IND00","Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph","closed",NA,NA,"Mostly sunny",68,70,"NNE",0,"fieldturf",1,1,1,0,0,0,0,1,0,"Moderate",0,0,0,"Low",0,0,0,0,0
693,"2024_01_HOU_IND",2024,"REG","9/8/24, 13:03:12","HOU","away","2024-09-08",1,2802,"field_goal",50,-4,1.65593891704,"00-0032726","K.Fairbairn","IND00","Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph","closed",NA,NA,"Mostly sunny",68,70,"NNE",0,"fieldturf",1,1,1,0,0,0,0,1,0,"Moderate",0,0,0,"Low",0,0,0,0,0
2141,"2024_01_HOU_IND",2024,"REG","9/8/24, 13:03:12","HOU","away","2024-09-08",3,1560,"field_goal",51,5,1.55290356847093,"00-0032726","K.Fairbairn","IND00","Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph","closed",NA,NA,"Mostly sunny",68,70,"NNE",0,"fieldturf",1,1,1,0,0,0,0,1,0,"Moderate",0,0,0,"Low",0,0,0,0,0
582,"2024_01_LA_DET",2024,"REG","9/8/24, 20:22:43","LA","away","2024-09-08",1,2994,"field_goal",41,0,2.24429840914057,"00-0039750","J.Karty","DET00","Controlled Climate Temp: 68° F, Humidity: 70%, Wind: mph","dome",NA,NA,"Controlled Climate",68,70,NA,0,"fieldturf",1,1,1,0,0,1,0,1,0,"Moderate",0,0,0,"Low",0,0,0,0,0
983,"2024_01_LA_DET",2024,"REG","9/8/24, 20:22:43","DET","home","2024-09-08",2,2540,"field_goal",25,-3,2.95694204300598,"00-0039172","J.Bates","DET00","Controlled Climate Temp: 68° F, Humidity: 70%, Wind: mph","dome",NA,NA,"Controlled Climate",68,70,NA,0,"fieldturf",1,1,1,0,0,1,0,0,0,"Moderate",0,0,0,"Low",0,0,0,0,0
3068,"2024_01_LA_DET",2024,"REG","9/8/24, 20:22:43","LA","away","2024-09-08",4,755,"field_goal",26,-7,2.94930580702619,"00-0039750","J.Karty","DET00","Controlled Climate Temp: 68° F, Humidity: 70%, Wind: mph","dome",NA,NA,"Controlled Climate",68,70,NA,0,"fieldturf",1,1,1,0,0,1,0,1,0,"Moderate",0,0,0,"Low",0,0,0,0,0
4175,"2024_01_LA_DET",2024,"REG","9/8/24, 20:22:43","DET","home","2024-09-08",4,20,"field_goal",32,-3,2.86288985061747,"00-0039172","J.Bates","DET00","Controlled Climate Temp: 68° F, Humidity: 70%, Wind: mph","dome",NA,NA,"Controlled Climate",68,70,NA,0,"fieldturf",1,1,1,0,0,1,1,0,0,"Moderate",0,0,0,"Low",0,0,0,0,0
